Variable:,tas
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1968,-0.79,-4.00,-4.39,-0.31,-1.95,-1.07,0.13,3.38,1.17,-0.23,0.62,-2.26,-1.86,-6.86,4.38,-1.87,0.35,-1.42,0.41,-2.01,-2.65,-4.48,-5.73
1969,-1.34,-4.17,-5.13,-0.47,-2.41,-1.63,-1.61,2.69,0.60,-1.13,0.57,-3.42,-2.22,-7.15,4.07,-2.37,0.04,-2.05,-0.77,-2.73,-3.45,-4.75,-5.77
1970,-0.96,-4.20,-4.31,-0.44,-2.42,-1.62,-0.34,3.35,0.98,-0.49,0.59,-2.64,-1.76,-7.10,4.31,-2.41,0.18,-1.95,0.30,-2.55,-3.27,-4.33,-5.66
1971,-0.45,-3.73,-3.56,0.26,-2.09,-1.20,0.24,3.45,1.29,-0.32,1.40,-2.33,-1.03,-6.73,4.76,-2.00,0.76,-1.54,0.52,-2.12,-2.88,-3.49,-4.98
1972,0.07,-2.81,-3.51,0.99,-1.20,-0.61,-0.21,4.14,2.25,0.54,1.86,-2.03,-0.74,-6.02,5.53,-1.14,1.65,-0.98,0.61,-1.33,-2.10,-3.08,-4.37
1973,0.41,-2.59,-3.02,1.08,-0.84,-0.08,0.73,4.54,2.49,1.02,1.97,-1.23,-0.50,-5.78,5.65,-0.72,1.78,-0.43,1.32,-0.84,-1.57,-2.96,-4.32
1974,-0.69,-3.61,-4.13,0.07,-1.90,-1.24,-0.50,3.39,1.20,-0.31,1.08,-2.60,-1.48,-6.68,4.57,-1.90,0.63,-1.60,0.13,-2.14,-2.87,-4.01,-5.27
1975,0.29,-2.92,-3.65,0.63,-0.85,-0.08,1.21,4.96,2.56,1.13,1.29,-1.13,-1.15,-5.89,5.65,-0.76,1.58,-0.41,1.86,-0.84,-1.53,-3.54,-4.83
1976,-0.70,-3.91,-4.13,-0.16,-2.08,-1.24,-0.17,3.56,1.33,-0.25,0.79,-2.34,-1.58,-7.03,4.65,-1.92,0.61,-1.56,0.55,-2.10,-2.82,-4.06,-5.54
1977,-0.07,-2.84,-3.42,0.75,-1.06,-0.55,-0.03,3.83,1.81,0.18,1.58,-2.00,-0.93,-5.90,5.16,-0.96,1.37,-0.88,0.73,-1.47,-2.21,-3.35,-4.59
1978,0.51,-2.24,-2.62,1.44,-0.64,-0.24,0.34,4.33,2.43,0.59,2.24,-1.78,-0.16,-5.20,5.88,-0.70,2.03,-0.59,1.00,-1.16,-1.96,-2.45,-3.82
1979,0.73,-1.70,-2.46,1.64,-0.24,-0.01,0.25,4.36,2.35,0.54,2.62,-1.82,0.28,-4.52,5.84,-0.37,2.16,-0.38,1.07,-1.13,-1.96,-1.81,-3.06
