Variable:,tas
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1996,14.99,15.56,17.20,11.58,21.78,10.48,17.88,20.62,18.56,22.79,10.37,15.89,16.33,12.91,20.40,10.71,12.49,16.73,11.27,17.26,8.16,19.19,21.12,5.20,17.54
1997,15.36,15.77,17.54,12.37,22.88,10.24,18.45,21.53,19.19,23.88,11.06,16.11,16.96,13.26,21.20,11.12,12.64,17.51,11.80,17.60,7.45,20.01,21.98,4.41,18.38
1998,15.03,15.28,16.85,11.46,21.73,11.15,17.48,20.46,18.13,22.79,10.58,15.83,16.14,12.88,20.59,11.08,12.90,16.77,11.22,16.93,8.88,18.88,20.94,5.71,17.49
1999,14.75,15.16,16.72,10.92,21.70,10.63,17.33,20.69,18.34,22.88,10.01,15.65,15.63,12.55,20.68,10.94,12.67,16.29,10.70,16.65,8.16,18.99,20.57,5.11,16.87
2000,14.44,15.18,16.93,10.89,21.72,9.62,17.29,20.45,18.20,22.93,10.16,15.25,15.52,12.30,20.61,10.28,11.82,16.46,10.56,16.54,7.19,18.83,20.57,4.39,16.92
2001,15.06,15.82,17.65,11.43,22.55,10.14,17.97,21.47,19.03,23.76,10.45,15.89,16.12,12.93,21.46,10.88,12.49,16.87,11.11,17.21,7.50,19.73,21.20,4.56,17.42
2002,14.82,15.43,17.31,11.51,22.41,9.89,17.65,21.17,18.64,23.73,10.56,15.46,16.06,12.64,21.36,10.52,12.21,17.00,11.03,16.85,7.07,19.38,21.18,4.16,17.56
2003,15.21,15.51,16.88,12.10,22.43,10.43,18.08,20.90,18.31,23.54,10.70,16.21,16.74,13.53,20.82,10.91,12.67,17.21,11.70,17.71,7.93,19.33,21.58,5.03,18.09
2004,15.19,15.59,17.27,11.85,22.10,10.88,17.86,20.89,18.65,23.05,10.53,15.96,16.50,12.97,20.74,11.07,12.75,16.93,11.35,17.14,8.68,19.38,21.41,5.72,17.84
2005,14.86,15.27,17.05,11.51,22.13,10.14,17.65,21.00,18.47,23.17,10.46,15.63,16.23,12.70,21.08,10.50,12.22,16.84,11.18,17.04,7.76,19.20,21.14,4.95,17.52
2006,15.38,15.66,17.33,12.40,22.79,10.32,18.35,21.56,19.03,23.83,10.86,16.20,17.11,13.51,21.33,10.81,12.54,17.37,11.97,17.83,7.96,19.81,21.85,5.15,18.35
2007,14.41,14.71,16.40,11.07,21.84,9.93,16.96,20.58,17.82,23.02,10.09,15.10,15.72,12.08,20.83,9.92,11.77,16.44,10.60,16.34,7.67,18.60,20.58,4.60,17.06
2008,15.29,15.86,17.55,11.73,22.23,10.95,18.04,21.09,19.01,23.18,10.27,16.30,16.44,13.21,20.75,11.33,13.01,16.74,11.39,17.42,8.38,19.71,21.33,5.24,17.67
2009,15.33,15.87,17.28,12.18,22.44,10.47,18.40,21.00,18.67,23.43,10.62,16.45,16.96,13.48,20.85,10.71,12.63,17.17,11.85,17.91,8.06,19.64,21.73,4.84,18.10
2010,14.84,15.52,17.22,11.43,21.76,10.14,17.74,20.64,18.46,22.86,10.42,15.84,16.14,12.79,20.59,10.29,12.20,16.73,11.12,17.19,7.89,19.10,20.92,4.97,17.39
2011,15.12,15.57,17.08,11.56,22.06,10.77,18.14,20.90,18.45,23.14,10.35,16.08,16.37,12.93,20.82,10.74,12.73,16.76,11.27,17.46,8.39,19.32,21.15,5.18,17.47
2012,15.51,15.87,17.57,12.36,23.05,10.58,18.59,21.72,19.10,24.03,10.90,16.25,17.09,13.41,21.61,10.93,12.69,17.49,11.96,17.86,8.14,20.04,22.04,4.92,18.32
2013,15.34,15.66,17.10,12.07,22.42,10.85,18.18,20.76,18.56,23.33,10.63,16.30,16.73,13.33,20.52,11.10,12.91,17.24,11.71,17.65,8.46,19.51,21.68,5.29,18.10
2014,15.34,15.93,17.54,11.92,22.90,10.42,18.20,21.56,18.92,24.00,10.97,16.21,16.49,13.31,21.57,10.88,12.55,17.45,11.51,17.64,8.03,19.79,21.64,4.86,17.95
2015,15.47,15.97,17.58,12.00,22.92,10.79,18.30,21.57,19.07,24.03,11.07,16.27,16.59,13.31,21.46,11.20,12.88,17.48,11.64,17.59,8.25,19.95,21.67,4.89,17.93
2016,14.98,15.34,16.87,11.26,21.89,10.74,17.46,20.68,18.28,23.01,10.48,15.81,15.93,13.10,20.77,11.18,12.65,16.78,11.29,16.99,8.53,19.02,20.73,5.54,17.12
2017,15.52,16.20,17.98,12.05,22.85,10.76,18.25,21.60,19.22,23.91,10.99,16.36,16.64,13.43,21.56,11.16,12.87,17.45,11.71,17.64,8.39,19.93,21.72,5.35,18.04
2018,15.20,15.88,17.50,11.58,22.31,10.57,18.05,21.13,18.84,23.30,10.45,16.23,16.25,13.23,20.96,10.88,12.65,16.89,11.38,17.49,8.24,19.59,21.26,5.27,17.50
2019,15.18,15.65,17.24,11.45,22.46,10.55,17.85,21.34,18.65,23.65,10.61,16.19,16.11,13.43,21.52,11.10,12.67,16.99,11.39,17.46,8.20,19.45,21.11,5.13,17.39
2020,15.52,15.76,17.33,12.06,22.96,10.87,18.11,21.42,18.77,24.16,11.29,16.42,16.66,13.76,21.45,11.31,12.93,17.74,11.87,17.79,8.48,19.61,21.67,5.44,18.06
2021,15.40,15.90,17.44,11.64,22.36,11.27,17.91,21.06,18.74,23.48,10.65,16.29,16.29,13.27,21.07,11.30,13.14,17.10,11.41,17.40,9.02,19.46,21.29,6.01,17.62
